unit,rep_design_uncon,rep_design_con,rep_ra_eff_uncon,rep_ra_eff_con,ipsae_min_stored_uncon,ipsae_min_stored_con,ipsae_min_asis_uncon,ipsae_min_mean_uncon,n_below_argmax_ab_uncon,n_below_argmax_ba_uncon,d0_argmax_ab_uncon,L_pairs_uncon,mean_pae_passing_uncon,ipsae_min_asis_con,ipsae_min_mean_con,n_below_argmax_ab_con,n_below_argmax_ba_con,d0_argmax_ab_con,L_pairs_con,mean_pae_passing_con,ipsae_min_d0swap_con,status
design_2_seq_0,initial,initial,4.495,1.846,0.3187,0.8086,0.3186799883842468,0.20006989158689975,80.0,75.0,3.185699940650432,10608.0,5.74584436416626,0.8085770010948181,0.5527473153864465,82.0,75.0,3.2363196445526423,12058.0,2.9651904106140137,0.8080694675445557,ok
design_31_seq_0,design_01,initial,4.154,1.86,0.0,0.4673,0.0,0.0,0.0,9.0,0.5,358.0,9.47602653503418,0.4673271179199219,0.27196246284681064,81.0,81.0,3.2111376255715163,12106.0,5.235411643981934,0.023290706798434258,ok
design_31_seq_1,design_02,design_00,4.184,2.4379999999999997,0.0,0.292,0.0,0.0,0.0,6.0,0.5,269.0,9.557062149047852,0.29199710488319397,0.185639017638118,82.0,81.0,3.2363196445526423,12595.0,6.136035919189453,0.010166960768401623,ok
design_34_seq_0,design_00,design_00,2.691,4.116,0.6756,0.835,0.6756425499916077,0.3823861905635567,82.0,80.0,3.2363196445526423,12568.0,4.111154079437256,0.8349955677986145,0.5547941533994163,82.0,80.0,3.2363196445526423,12935.0,3.007760524749756,0.8349955677986145,ok
design_35_seq_0,initial,initial,3.758,2.373,0.1142,0.7275,0.11417403817176819,0.059892075614060285,70.0,77.0,2.9156610513441255,8160.0,8.29173469543457,0.7275485992431641,0.4695759273539358,82.0,77.0,3.2363196445526423,12339.0,3.57844877243042,0.7275485992431641,ok
design_38_seq_0,design_00,design_01,4.259,1.655,0.0029,0.6277,0.002879458013921976,0.00028248118738142343,4.0,34.0,0.5,1519.0,8.809800148010254,0.6277289986610413,0.45567442951664233,82.0,78.0,3.2363196445526423,12350.0,3.6520750522613525,0.060068003833293915,ok
design_39_seq_0,initial,initial,1.703,1.238,0.4932,0.8746,0.4931749105453491,0.345326897478375,82.0,81.0,3.2363196445526423,12944.0,4.588492393493652,0.874629020690918,0.6216333853762325,82.0,81.0,3.2363196445526423,13116.0,2.6295742988586426,0.874629020690918,ok
design_39_seq_1,design_00,initial,2.897,1.609,0.8818,0.8976,0.8817732334136963,0.6403488097080018,82.0,81.0,3.2363196445526423,13048.0,2.5002782344818115,0.897623598575592,0.6383192412624205,82.0,81.0,3.2363196445526423,13131.0,2.5119543075561523,0.897623598575592,ok
design_40_seq_0,initial,initial,3.243,1.425,0.7754,0.878,0.7754321098327637,0.47669636144710237,82.0,80.0,3.2363196445526423,12865.0,3.561230182647705,0.8780364990234375,0.6197381590580335,82.0,80.0,3.2363196445526423,12972.0,2.6351101398468018,0.8780364990234375,ok
design_40_seq_1,initial,initial,2.988,1.594,0.4254,0.8705,0.42541593313217163,0.2530465004121652,80.0,80.0,3.185699940650432,11425.0,5.333762168884277,0.8704978823661804,0.6021020368731115,82.0,80.0,3.2363196445526423,12968.0,2.739856004714966,0.8682458996772766,ok
design_42_seq_0,initial,initial,2.264,1.758,0.3183,0.8717,0.31826919317245483,0.15439919847173286,75.0,85.0,3.054435875049391,10720.0,6.1443939208984375,0.8717154860496521,0.5819469372358392,82.0,85.0,3.2363196445526423,13758.0,2.8756794929504395,0.8622731566429138,ok
design_42_seq_1,design_01,initial,3.493,1.465,0.6897,0.2345,0.6896870136260986,0.34764447469702536,82.0,85.0,3.2363196445526423,12977.0,4.4662766456604,0.2344660758972168,0.12369265796287972,75.0,85.0,3.054435875049391,10651.0,7.148128032684326,0.2344660758972168,ok
design_43_seq_0,design_00,initial,2.926,1.064,0.0915,0.1358,0.0914824977517128,0.019859587244520135,62.0,68.0,2.674944339371981,3790.0,8.85982894897461,0.1357703059911728,0.08517918949221055,74.0,72.0,3.0273155556828426,8804.0,8.048043251037598,0.10832260549068451,ok
design_43_seq_1,design_01,initial,1.984,1.658,0.1319,0.291,0.13193565607070923,0.06653456892757736,70.0,76.0,2.9156610513441255,8409.0,7.8072638511657715,0.2909603416919708,0.2015105787809793,81.0,77.0,3.2111376255715163,11357.0,6.111479759216309,0.23875057697296143,ok
design_45_seq_1,design_01,initial,3.673,2.644,0.0,0.7781,0.0,0.0,0.0,1.0,0.5,6.0,,0.7781068086624146,0.48161628874547685,82.0,81.0,3.2363196445526423,12847.0,3.474567174911499,0.10784338414669037,ok
design_47_seq_0,initial,initial,2.137,1.753,0.774,0.87,0.7739786505699158,0.4972347174569918,82.0,81.0,3.2363196445526423,13066.0,3.323592185974121,0.869992196559906,0.6037797992847814,82.0,81.0,3.2363196445526423,13126.0,2.7211873531341553,0.869992196559906,ok
design_47_seq_1,initial,initial,2.623,2.874,0.0871,0.757,0.08711777627468109,0.03722131954230092,65.0,78.0,2.768199058314079,6521.0,8.906116485595703,0.7570253610610962,0.46941790143947726,82.0,81.0,3.2363196445526423,12746.0,3.6882143020629883,0.7079752683639526,ok
design_49_seq_0,initial,initial,3.309,1.665,0.7761,0.8835,0.776064932346344,0.503568254166601,82.0,79.0,3.2363196445526423,12722.0,3.390321969985962,0.8834593296051025,0.6314414726493621,82.0,79.0,3.2363196445526423,12816.0,2.5314981937408447,0.8834593296051025,ok
design_49_seq_1,initial,initial,3.527,2.126,0.2004,0.8807,0.2004278302192688,0.13384756596193095,75.0,79.0,3.054435875049391,10274.0,6.8881611824035645,0.8807080388069153,0.6431518655765471,82.0,79.0,3.2363196445526423,12814.0,2.4765944480895996,0.8743190169334412,ok
design_51_seq_0,initial,initial,2.384,2.476,0.1729,0.7129,0.17294681072235107,0.06991586615573372,66.0,77.0,2.798452913890075,8501.0,7.868149757385254,0.7128747701644897,0.5231235062976073,82.0,77.0,3.2363196445526423,12391.0,3.2409908771514893,0.6969682574272156,ok
design_51_seq_1,initial,initial,1.836,1.27,0.1848,0.2202,0.18476030230522156,0.11413790346667557,72.0,77.0,2.9721414027832376,9559.0,7.28632116317749,0.22018598020076752,0.14536730503941608,79.0,77.0,3.1599999999999993,10587.0,7.083591461181641,0.19926214218139648,ok
design_52_seq_1,initial,design_02,1.883,1.515,0.1181,0.3426,0.11812730133533478,0.05835644060491838,71.0,76.0,2.9440693332755243,7732.0,8.511841773986816,0.34262555837631226,0.22677631922937058,80.0,77.0,3.185699940650432,11475.0,5.6875128746032715,0.2985787093639374,ok
design_57_seq_0,design_01,design_01,4.064,2.954,0.1719,0.5051,0.1719261109828949,0.09779616459701701,72.0,76.0,2.9721414027832376,8906.0,7.620229721069336,0.5050785541534424,0.3048779364601758,82.0,76.0,3.2363196445526423,11884.0,4.965541362762451,0.49434104561805725,ok
design_59_seq_1,initial,initial,2.336,1.995,0.1575,0.8155,0.15751245617866516,0.10014282978188835,75.0,76.0,3.054435875049391,9356.0,7.819085121154785,0.8155280947685242,0.5361989346289958,82.0,76.0,3.2363196445526423,12157.0,3.0809247493743896,0.8155280947685242,ok
design_5_seq_0,initial,initial,3.299,1.75,0.1992,0.8103,0.19916768372058868,0.09888124219554512,73.0,79.0,2.9998870343784683,9095.0,7.4737749099731445,0.8103076815605164,0.5021681162127871,82.0,79.0,3.2363196445526423,12714.0,3.281351327896118,0.8103076815605164,ok
design_5_seq_1,initial,initial,2.376,2.651,0.5765,0.869,0.5765388011932373,0.3476398005474453,82.0,79.0,3.2363196445526423,11649.0,4.389710426330566,0.8690115809440613,0.6387958186383866,82.0,79.0,3.2363196445526423,12765.0,2.5156948566436768,0.8690115809440613,ok
design_6_seq_0,initial,initial,2.61,2.515,0.5307,0.8686,0.530714750289917,0.3073868866486009,82.0,80.0,3.2363196445526423,12643.0,4.844038963317871,0.8685675859451294,0.5626668402692303,82.0,80.0,3.2363196445526423,12945.0,2.863395929336548,0.8685675859451294,ok
design_6_seq_1,initial,initial,3.853,3.565,0.7915,0.8701,0.7914732098579407,0.519761920592282,82.0,80.0,3.2363196445526423,12830.0,3.195188045501709,0.870091438293457,0.6023109219386242,82.0,80.0,3.2363196445526423,12949.0,2.701145887374878,0.870091438293457,ok
design_8_seq_0,design_01,design_00,3.9465,2.292,0.0978,0.8161,0.0977700799703598,0.005855738051020755,61.0,56.0,2.6429793600597735,3258.0,8.13086986541748,0.8160901069641113,0.5299525702676664,82.0,78.0,3.2363196445526423,12432.0,3.177100896835327,0.6363613605499268,ok
